PassengerId Survived Pclass Age 
1 0 3 male S
2 1 1 female C
3 1 3 female S
4 1 1 female S
5 0 3 male S
6 0 3 male Q
7 0 1 male S
8 0 3 male S
9 1 3 female S
10 1 2 female C
11 1 3 female S
12 1 1 female S
13 0 3 male S
14 0 3 male S
15 0 3 female S
16 1 2 female S
17 0 3 male Q
18 1 2 male S
19 0 3 female S
20 1 3 female C
21 0 2 male S
22 1 2 male S
23 1 3 female Q
24 1 1 male S
25 0 3 female S
26 1 3 female S
27 0 3 male C
28 0 1 male S
29 1 3 female Q
30 0 3 male S
31 0 1 male C
32 1 1 female C
33 1 3 female Q
34 0 2 male S
35 0 1 male C
36 0 1 male S
37 1 3 male C
38 0 3 male S
39 0 3 female S
40 1 3 female C
41 0 3 female S
42 0 2 female S
43 0 3 male C
44 1 2 female C
45 1 3 female Q
46 0 3 male S
47 0 3 male Q
48 1 3 female Q
49 0 3 male C
50 0 3 female S
51 0 3 male S
52 0 3 male S
53 1 1 female C
54 1 2 female S
55 0 1 male C
56 1 1 male S
57 1 2 female S
58 0 3 male C
59 1 2 female S
60 0 3 male S
61 0 3 male C
62 1 1 female 
63 0 1 male S
64 0 3 male S
65 0 1 male C
66 1 3 male C
67 1 2 female S
68 0 3 male S
69 1 3 female S
70 0 3 male S
71 0 2 male S
72 0 3 female S
73 0 2 male S
74 0 3 male C
75 1 3 male S
76 0 3 male S
77 0 3 male S
78 0 3 male S
79 1 2 male S
80 1 3 female S
81 0 3 male S
82 1 3 male S
83 1 3 female Q
84 0 1 male S
85 1 2 female S
86 1 3 female S
87 0 3 male S
88 0 3 male S
89 1 1 female S
90 0 3 male S
91 0 3 male S
92 0 3 male S
93 0 1 male S
94 0 3 male S
95 0 3 male S
96 0 3 male S
97 0 1 male C
98 1 1 male C
99 1 2 female S
100 0 2 male S
101 0 3 female S
102 0 3 male S
103 0 1 male S
104 0 3 male S
105 0 3 male S
106 0 3 male S
107 1 3 female S
108 1 3 male S
109 0 3 male S
110 1 3 female Q
111 0 1 male S
112 0 3 female C
113 0 3 male S
114 0 3 female S
115 0 3 female C
116 0 3 male S
117 0 3 male Q
118 0 2 male S
119 0 1 male C
120 0 3 female S
121 0 2 male S
122 0 3 male S
123 0 2 male C
124 1 2 female S
125 0 1 male S
126 1 3 male C
127 0 3 male Q
128 1 3 male S
129 1 3 female C
130 0 3 male S
131 0 3 male C
132 0 3 male S
133 0 3 female S
134 1 2 female S
135 0 2 male S
136 0 2 male C
137 1 1 female S
138 0 1 male S
139 0 3 male S
140 0 1 male C
141 0 3 female C
142 1 3 female S
143 1 3 female S
144 0 3 male Q
145 0 2 male S
146 0 2 male S
147 1 3 male S
148 0 3 female S
149 0 2 male S
150 0 2 male S
151 0 2 male S
152 1 1 female S
153 0 3 male S
154 0 3 male S
155 0 3 male S
156 0 1 male C
157 1 3 female Q
158 0 3 male S
159 0 3 male S
160 0 3 male S
161 0 3 male S
162 1 2 female S
163 0 3 male S
164 0 3 male S
165 0 3 male S
166 1 3 male S
167 1 1 female S
168 0 3 female S
169 0 1 male S
170 0 3 male S
171 0 1 male S
172 0 3 male Q
173 1 3 female S
174 0 3 male S
175 0 1 male C
176 0 3 male S
177 0 3 male S
178 0 1 female C
179 0 2 male S
180 0 3 male S
181 0 3 female S
182 0 2 male C
183 0 3 male S
184 1 2 male S
185 1 3 female S
186 0 1 male S
187 1 3 female Q
188 1 1 male S
189 0 3 male Q
190 0 3 male S
191 1 2 female S
192 0 2 male S
193 1 3 female S
194 1 2 male S
195 1 1 female C
196 1 1 female C
197 0 3 male Q
198 0 3 male S
199 1 3 female Q
200 0 2 female S
201 0 3 male S
202 0 3 male S
203 0 3 male S
204 0 3 male C
205 1 3 male S
206 0 3 female S
207 0 3 male S
208 1 3 male C
209 1 3 female Q
210 1 1 male C
211 0 3 male S
212 1 2 female S
213 0 3 male S
214 0 2 male S
215 0 3 male Q
216 1 1 female C
217 1 3 female S
218 0 2 male S
219 1 1 female C
220 0 2 male S
221 1 3 male S
222 0 2 male S
223 0 3 male S
224 0 3 male S
225 1 1 male S
226 0 3 male S
227 1 2 male S
228 0 3 male S
229 0 2 male S
230 0 3 female S
231 1 1 female S
232 0 3 male S
233 0 2 male S
234 1 3 female S
235 0 2 male S
236 0 3 female S
237 0 2 male S
238 1 2 female S
239 0 2 male S
240 0 2 male S
241 0 3 female C
242 1 3 female Q
243 0 2 male S
244 0 3 male S
245 0 3 male C
246 0 1 male Q
247 0 3 female S
248 1 2 female S
249 1 1 male S
250 0 2 male S
251 0 3 male S
252 0 3 female S
253 0 1 male S
254 0 3 male S
255 0 3 female S
256 1 3 female C
257 1 1 female C
258 1 1 female S
259 1 1 female C
260 1 2 female S
261 0 3 male Q
262 1 3 male S
263 0 1 male S
264 0 1 male S
265 0 3 female Q
266 0 2 male S
267 0 3 male S
268 1 3 male S
269 1 1 female S
270 1 1 female S
271 0 1 male S
272 1 3 male S
273 1 2 female S
274 0 1 male C
275 1 3 female Q
276 1 1 female S
277 0 3 female S
278 0 2 male S
279 0 3 male Q
280 1 3 female S
281 0 3 male Q
282 0 3 male S
283 0 3 male S
284 1 3 male S
285 0 1 male S
286 0 3 male C
287 1 3 male S
288 0 3 male S
289 1 2 male S
290 1 3 female Q
291 1 1 female S
292 1 1 female C
293 0 2 male C
294 0 3 female S
295 0 3 male S
296 0 1 male C
297 0 3 male C
298 0 1 female S
299 1 1 male S
300 1 1 female C
301 1 3 female Q
302 1 3 male Q
303 0 3 male S
304 1 2 female Q
305 0 3 male S
306 1 1 male S
307 1 1 female C
308 1 1 female C
309 0 2 male C
310 1 1 female C
311 1 1 female C
312 1 1 female C
313 0 2 female S
314 0 3 male S
315 0 2 male S
316 1 3 female S
317 1 2 female S
318 0 2 male S
319 1 1 female S
320 1 1 female C
321 0 3 male S
322 0 3 male S
323 1 2 female Q
324 1 2 female S
325 0 3 male S
326 1 1 female C
327 0 3 male S
328 1 2 female S
329 1 3 female S
330 1 1 female C
331 1 3 female Q
332 0 1 male S
333 0 1 male S
